Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
0,0,1,0,0
1,1,0,2516576,0
2,2,0,4278171,0
3,3,0,5511282,0
4,4,0,6374456,0
5,5,0,6978675,0
6,6,0,7401627,0
7,7,0,7697692,0
8,8,0,7904936,0
9,9,0,8050007,0
10,10,0,8151556,0
11,11,0,8222640,0
12,12,0,8272398,0
13,13,0,8307229,0
14,14,0,8331610,0
15,15,0,8348677,0
16,16,0,8360624,0
17,17,0,8368987,0
18,18,0,8374841,0
19,19,0,8378939,0
20,20,0,8381807,0
21,21,0,8383815,0
22,22,0,8385220,0
23,23,0,8386204,0
24,24,0,8386893,0
25,25,0,8387375,0
26,26,0,8387712,0
27,27,0,8387948,0
28,28,0,8388114,0
29,29,0,8388230,0
30,30,0,8388311,0
31,31,0,8388368,0
32,32,0,8388408,0
33,33,0,8388436,0
34,34,0,8388455,0
35,35,0,8388468,0
36,36,0,8388478,0
37,37,0,8388485,0
38,38,0,8388489,0
39,39,0,8388492,0
40,40,0,8388494,0
41,41,0,8388496,0
42,42,0,8388497,0
43,43,0,8388498,0
44,44,0,8388499,0
45,45,0,8388499,0
46,46,0,8388499,0
47,47,0,8388499,0
48,48,0,8388499,0
49,49,0,8388499,0
50,50,0,8388499,0
51,51,0,8388499,0
52,52,0,8388499,0
53,53,0,8388499,0
54,54,0,8388499,0
55,55,0,8388499,0
56,56,0,8388499,0
57,57,0,8388499,0
58,58,0,8388499,0
59,59,0,8388499,0
60,60,0,8388499,0
61,61,0,8388499,0
62,62,0,8388499,0
63,63,0,8388499,0
64,64,0,8388499,0
65,65,0,8388499,0
66,66,0,8388499,0
67,67,0,8388499,0
68,68,0,8388499,0
69,69,0,8388499,0
70,70,0,8388499,0
71,71,0,8388499,0
72,72,0,8388499,0
73,73,0,8388499,0
74,74,0,8388499,0
75,75,0,8388499,0
76,76,0,8388499,0
77,77,0,8388499,0
78,78,0,8388499,0
79,79,0,8388499,0
80,80,0,8388499,0
81,81,0,8388499,0
82,82,0,8388499,0
83,83,0,8388499,0
84,84,0,8388499,0
85,85,0,8388499,0
86,86,0,8388499,0
87,87,0,8388499,0
88,88,0,8388499,0
89,89,0,8388499,0
90,90,0,8388499,0
91,91,0,8388499,0
92,92,0,8388499,0
93,93,0,8388499,0
94,94,0,8388499,0
95,95,0,8388499,0
96,96,0,8388499,0
97,97,0,8388499,0
98,98,0,8388499,0
99,99,0,8388499,0
100,100,0,8388499,0
101,101,0,8388499,0
102,102,0,8388499,0
103,103,0,8388499,0
104,104,0,8388499,0
105,105,0,8388499,0
106,106,0,8388499,0
107,107,0,8388499,0
108,108,0,8388499,0
109,109,0,8388499,0
110,110,0,8388499,0
111,111,0,8388499,0
112,112,0,8388499,0
113,113,0,8388499,0
114,114,0,8388499,0
115,115,0,8388499,0
116,116,0,8388499,0
117,117,0,8388499,0
118,118,0,8388499,0
119,119,0,8388499,0
120,120,0,8388499,0
121,121,0,8388499,0
122,122,0,8388499,0
123,123,0,8388499,0
124,124,0,8388499,0
125,125,0,8388499,0
126,126,0,8388499,0
127,127,0,8388499,0
128,128,0,8388499,0
129,129,0,8388499,0
130,130,0,8388499,0
131,131,0,8388499,0
132,132,0,8388499,0
133,133,0,8388499,0
134,134,0,8388499,0
135,135,0,8388499,0
136,136,0,8388499,0
137,137,0,8388499,0
138,138,0,8388499,0
139,139,0,8388499,0
140,140,0,8388499,0
141,141,0,8388499,0
142,142,0,8388499,0
143,143,0,8388499,0
144,144,0,8388499,0
145,145,0,8388499,0
146,146,0,8388499,0
147,147,0,8388499,0
148,148,0,8388499,0
149,149,0,8388499,0
150,150,0,8388499,0
151,151,0,8388499,0
152,152,0,8388499,0
153,153,0,8388499,0
154,154,0,8388499,0
155,155,0,8388499,0
156,156,0,8388499,0
157,157,0,8388499,0
158,158,0,8388499,0
159,159,0,8388499,0
160,160,0,8388499,0
161,161,0,8388499,0
162,162,0,8388499,0
163,163,0,8388499,0
164,164,0,8388499,0
165,165,0,8388499,0
166,166,0,8388499,0
167,167,0,8388499,0
168,168,0,8388499,0
169,169,0,8388499,0
170,170,0,8388499,0
171,171,0,8388499,0
172,172,0,8388499,0
173,173,0,8388499,0
174,174,0,8388499,0
175,175,0,8388499,0
176,176,0,8388499,0
177,177,0,8388499,0
178,178,0,8388499,0
179,179,0,8388499,0
180,180,0,8388499,0
181,181,0,8388499,0
182,182,0,8388499,0
183,183,0,8388499,0
184,184,0,8388499,0
185,185,0,8388499,0
186,186,0,8388499,0
187,187,0,8388499,0
188,188,0,8388499,0
189,189,0,8388499,0
190,190,0,8388499,0
191,191,0,8388499,0
192,192,0,8388499,0
193,193,0,8388499,0
194,194,0,8388499,0
195,195,0,8388499,0
196,196,0,8388499,0
197,197,0,8388499,0
198,198,0,8388499,0
199,199,0,8388499,0
200,200,0,8388499,0
201,201,0,8388499,0
202,202,0,8388499,0
203,203,0,8388499,0
204,204,0,8388499,0
205,205,0,8388499,0
206,206,0,8388499,0
207,207,0,8388499,0
208,208,0,8388499,0
209,209,0,8388499,0
210,210,0,8388499,0
211,211,0,8388499,0
212,212,0,8388499,0
213,213,0,8388499,0
214,214,0,8388499,0
215,215,0,8388499,0
216,216,0,8388499,0
217,217,0,8388499,0
218,218,0,8388499,0
219,219,0,8388499,0
220,220,0,8388499,0
221,221,0,8388499,0
222,222,0,8388499,0
223,223,0,8388499,0
224,224,0,8388499,0
225,225,0,8388499,0
226,226,0,8388499,0
227,227,0,8388499,0
228,228,0,8388499,0
229,229,0,8388499,0
230,230,0,8388499,0
231,231,0,8388499,0
232,232,0,8388499,0
233,233,0,8388499,0
234,234,0,8388499,0
235,235,0,8388499,0
236,236,0,8388499,0
237,237,0,8388499,0
238,238,0,8388499,0
239,239,0,8388499,0
240,240,0,8388499,0
241,241,0,8388499,0
242,242,0,8388499,0
243,243,0,8388499,0
244,244,0,8388499,0
245,245,0,8388499,0
246,246,0,8388499,0
247,247,0,8388499,0
248,248,0,8388499,0
249,249,0,8388499,0
250,250,0,8388499,0
251,251,0,8388499,0
252,252,0,8388499,0
253,253,0,8388499,0
254,254,0,8388499,0
255,255,0,8388499,0
256,256,0,8388499,0
257,257,0,8388499,0
258,258,0,8388499,0
259,259,0,8388499,0
260,260,0,8388499,0
261,261,0,8388499,0
262,262,0,8388499,0
263,263,0,8388499,0
264,264,0,8388499,0
265,265,0,8388499,0
266,266,0,8388499,0
267,267,0,8388499,0
268,268,0,8388499,0
269,269,0,8388499,0
270,270,0,8388499,0
271,271,0,8388499,0
272,272,0,8388499,0
273,273,0,8388499,0
274,274,0,8388499,0
275,275,0,8388499,0
276,276,0,8388499,0
277,277,0,8388499,0
278,278,0,8388499,0
279,279,0,8388499,0
280,280,0,8388499,0
281,281,0,8388499,0
282,282,0,8388499,0
283,283,0,8388499,0
284,284,0,8388499,0
285,285,0,8388499,0
286,286,0,8388499,0
287,287,0,8388499,0
288,288,0,8388499,0
289,289,0,8388499,0
290,290,0,8388499,0
291,291,0,8388499,0
292,292,0,8388499,0
293,293,0,8388499,0
294,294,0,8388499,0
295,295,0,8388499,0
296,296,0,8388499,0
297,297,0,8388499,0
298,298,0,8388499,0
299,299,0,8388499,0
300,300,0,8388499,0
301,301,0,8388499,0
302,302,0,8388499,0
303,303,0,8388499,0
304,304,0,8388499,0
305,305,0,8388499,0
306,306,0,8388499,0
307,307,0,8388499,0
308,308,0,8388499,0
309,309,0,8388499,0
310,310,0,8388499,0
311,311,0,8388499,0
312,312,0,8388499,0
313,313,0,8388499,0
314,314,0,8388499,0
315,315,0,8388499,0
316,316,0,8388499,0
317,317,0,8388499,0
318,318,0,8388499,0
319,319,0,8388499,0
320,320,0,8388499,0
321,321,0,8388499,0
322,322,0,8388499,0
323,323,0,8388499,0
324,324,0,8388499,0
325,325,0,8388499,0
326,326,0,8388499,0
327,327,0,8388499,0
328,328,0,8388499,0
329,329,0,8388499,0
330,330,0,8388499,0
331,331,0,8388499,0
332,332,0,8388499,0
333,333,0,8388499,0
334,334,0,8388499,0
335,335,0,8388499,0
336,336,0,8388499,0
337,337,0,8388499,0
338,338,0,8388499,0
339,339,0,8388499,0
340,340,0,8388499,0
341,341,0,8388499,0
342,342,0,8388499,0
343,343,0,8388499,0
344,344,0,8388499,0
345,345,0,8388499,0
346,346,0,8388499,0
347,347,0,8388499,0
348,348,0,8388499,0
349,349,0,8388499,0
350,350,0,8388499,0
351,351,0,8388499,0
352,352,0,8388499,0
353,353,0,8388499,0
354,354,0,8388499,0
355,355,0,8388499,0
356,356,0,8388499,0
357,357,0,8388499,0
358,358,0,8388499,0
359,359,0,8388499,0
360,360,0,8388499,0
361,361,0,8388499,0
362,362,0,8388499,0
363,363,0,8388499,0
364,364,0,8388499,0
365,365,0,8388499,0
366,366,0,8388499,0
367,367,0,8388499,0
368,368,0,8388499,0
369,369,0,8388499,0
370,370,0,8388499,0
371,371,0,8388499,0
372,372,0,8388499,0
373,373,0,8388499,0
374,374,0,8388499,0
375,375,0,8388499,0
376,376,0,8388499,0
377,377,0,8388499,0
378,378,0,8388499,0
379,379,0,8388499,0
380,380,0,8388499,0
381,381,0,8388499,0
382,382,0,8388499,0
383,383,0,8388499,0
384,384,0,8388499,0
385,385,0,8388499,0
386,386,0,8388499,0
387,387,0,8388499,0
388,388,0,8388499,0
389,389,0,8388499,0
390,390,0,8388499,0
391,391,0,8388499,0
392,392,0,8388499,0
393,393,0,8388499,0
394,394,0,8388499,0
395,395,0,8388499,0
396,396,0,8388499,0
397,397,0,8388499,0
398,398,0,8388499,0
399,399,0,8388499,0
400,400,0,8388499,0
401,401,0,8388499,0
402,402,0,8388499,0
403,403,0,8388499,0
404,404,0,8388499,0
405,405,0,8388499,0
406,406,0,8388499,0
407,407,0,8388499,0
408,408,0,8388499,0
409,409,0,8388499,0
410,410,0,8388499,0
411,411,0,8388499,0
412,412,0,8388499,0
413,413,0,8388499,0
414,414,0,8388499,0
415,415,0,8388499,0
416,416,0,8388499,0
417,417,0,8388499,0
418,418,0,8388499,0
419,419,0,8388499,0
420,420,0,8388499,0
421,421,0,8388499,0
422,422,0,8388499,0
423,423,0,8388499,0
424,424,0,8388499,0
425,425,0,8388499,0
426,426,0,8388499,0
427,427,0,8388499,0
428,428,0,8388499,0
429,429,0,8388499,0
430,430,0,8388499,0
431,431,0,8388499,0
432,432,0,8388499,0
433,433,0,8388499,0
434,434,0,8388499,0
435,435,0,8388499,0
436,436,0,8388499,0
437,437,0,8388499,0
438,438,0,8388499,0
439,439,0,8388499,0
440,440,0,8388499,0
441,441,0,8388499,0
442,442,0,8388499,0
443,443,0,8388499,0
444,444,0,8388499,0
445,445,0,8388499,0
446,446,0,8388499,0
447,447,0,8388499,0
448,448,0,8388499,0
449,449,0,8388499,0
450,450,0,8388499,0
451,451,0,8388499,0
452,452,0,8388499,0
453,453,0,8388499,0
454,454,0,8388499,0
455,455,0,8388499,0
456,456,0,8388499,0
457,457,0,8388499,0
458,458,0,8388499,0
459,459,0,8388499,0
460,460,0,8388499,0
461,461,0,8388499,0
462,462,0,8388499,0
463,463,0,8388499,0
464,464,0,8388499,0
465,465,0,8388499,0
466,466,0,8388499,0
467,467,0,8388499,0
468,468,0,8388499,0
469,469,0,8388499,0
470,470,0,8388499,0
471,471,0,8388499,0
472,472,0,8388499,0
473,473,0,8388499,0
474,474,0,8388499,0
475,475,0,8388499,0
476,476,0,8388499,0
477,477,0,8388499,0
478,478,0,8388499,0
479,479,0,8388499,0
480,480,0,8388499,0
481,481,0,8388499,0
482,482,0,8388499,0
483,483,0,8388499,0
484,484,0,8388499,0
485,485,0,8388499,0
486,486,0,8388499,0
487,487,0,8388499,0
488,488,0,8388499,0
489,489,0,8388499,0
490,490,0,8388499,0
491,491,0,8388499,0
492,492,0,8388499,0
493,493,0,8388499,0
494,494,0,8388499,0
495,495,0,8388499,0
496,496,0,8388499,0
497,497,0,8388499,0
498,498,0,8388499,0
499,499,0,8388499,0
500,500,0,8388499,0
501,501,0,8388499,0
502,502,0,8388499,0
503,503,0,8388499,0
504,504,0,8388499,0
505,505,0,8388499,0
506,506,0,8388499,0
507,507,0,8388499,0
508,508,0,8388499,0
509,509,0,8388499,0
510,510,0,8388499,0
511,511,0,8388499,0
512,512,0,8388499,0
513,513,0,8388499,0
514,514,0,8388499,0
515,515,0,8388499,0
516,516,0,8388499,0
517,517,0,8388499,0
518,518,0,8388499,0
519,519,0,8388499,0
520,520,0,8388499,0
521,521,0,8388499,0
522,522,0,8388499,0
523,523,0,8388499,0
524,524,0,8388499,0
525,525,0,8388499,0
526,526,0,8388499,0
527,527,0,8388499,0
528,528,0,8388499,0
529,529,0,8388499,0
530,530,0,8388499,0
531,531,0,8388499,0
532,532,0,8388499,0
533,533,0,8388499,0
534,534,0,8388499,0
535,535,0,8388499,0
536,536,0,8388499,0
537,537,0,8388499,0
538,538,0,8388499,0
539,539,0,8388499,0
540,540,0,8388499,0
541,541,0,8388499,0
542,542,0,8388499,0
543,543,0,8388499,0
544,544,0,8388499,0
545,545,0,8388499,0
546,546,0,8388499,0
547,547,0,8388499,0
548,548,0,8388499,0
549,549,0,8388499,0
550,550,0,8388499,0
551,551,0,8388499,0
552,552,0,8388499,0
553,553,0,8388499,0
554,554,0,8388499,0
555,555,0,8388499,0
556,556,0,8388499,0
557,557,0,8388499,0
558,558,0,8388499,0
559,559,0,8388499,0
560,560,0,8388499,0
561,561,0,8388499,0
562,562,0,8388499,0
563,563,0,8388499,0
564,564,0,8388499,0
565,565,0,8388499,0
566,566,0,8388499,0
567,567,0,8388499,0
568,568,0,8388499,0
569,569,0,8388499,0
570,570,0,8388499,0
571,571,0,8388499,0
572,572,0,8388499,0
573,573,0,8388499,0
574,574,0,8388499,0
575,575,0,8388499,0
576,576,0,8388499,0
577,577,0,8388499,0
578,578,0,8388499,0
579,579,0,8388499,0
580,580,0,8388499,0
581,581,0,8388499,0
582,582,0,8388499,0
583,583,0,8388499,0
584,584,0,8388499,0
585,585,0,8388499,0
586,586,0,8388499,0
587,587,0,8388499,0
588,588,0,8388499,0
589,589,0,8388499,0
590,590,0,8388499,0
591,591,0,8388499,0
592,592,0,8388499,0
593,593,0,8388499,0
594,594,0,8388499,0
595,595,0,8388499,0
596,596,0,8388499,0
597,597,0,8388499,0
598,598,0,8388499,0
599,599,0,8388499,0
600,600,0,8388499,0
601,601,0,8388499,0
602,602,0,8388499,0
603,603,0,8388499,0
604,604,0,8388499,0
605,605,0,8388499,0
606,606,0,8388499,0
607,607,0,8388499,0
608,608,0,8388499,0
609,609,0,8388499,0
610,610,0,8388499,0
611,611,0,8388499,0
612,612,0,8388499,0
613,613,0,8388499,0
614,614,0,8388499,0
615,615,0,8388499,0
616,616,0,8388499,0
617,617,0,8388499,0
618,618,0,8388499,0
619,619,0,8388499,0
620,620,0,8388499,0
621,621,0,8388499,0
622,622,0,8388499,0
623,623,0,8388499,0
624,624,0,8388499,0
625,625,0,8388499,0
626,626,0,8388499,0
627,627,0,8388499,0
628,628,0,8388499,0
629,629,0,8388499,0
630,630,0,8388499,0
631,631,0,8388499,0
632,632,0,8388499,0
633,633,0,8388499,0
634,634,0,8388499,0
635,635,0,8388499,0
636,636,0,8388499,0
637,637,0,8388499,0
638,638,0,8388499,0
639,639,0,8388499,0
640,640,0,8388499,0
641,641,0,8388499,0
642,642,0,8388499,0
643,643,0,8388499,0
644,644,0,8388499,0
645,645,0,8388499,0
646,646,0,8388499,0
647,647,0,8388499,0
648,648,0,8388499,0
649,649,0,8388499,0
650,650,0,8388499,0
651,651,0,8388499,0
652,652,0,8388499,0
653,653,0,8388499,0
654,654,0,8388499,0
655,655,0,8388499,0
656,656,0,8388499,0
657,657,0,8388499,0
658,658,0,8388499,0
659,659,0,8388499,0
660,660,0,8388499,0
661,661,0,8388499,0
662,662,0,8388499,0
663,663,0,8388499,0
664,664,0,8388499,0
665,665,0,8388499,0
666,666,0,8388499,0
667,667,0,8388499,0
668,668,0,8388499,0
669,669,0,8388499,0
670,670,0,8388499,0
671,671,0,8388499,0
672,672,0,8388499,0
673,673,0,8388499,0
674,674,0,8388499,0
675,675,0,8388499,0
676,676,0,8388499,0
677,677,0,8388499,0
678,678,0,8388499,0
679,679,0,8388499,0
680,680,0,8388499,0
681,681,0,8388499,0
682,682,0,8388499,0
683,683,0,8388499,0
684,684,0,8388499,0
685,685,0,8388499,0
686,686,0,8388499,0
687,687,0,8388499,0
688,688,0,8388499,0
689,689,0,8388499,0
690,690,0,8388499,0
691,691,0,8388499,0
692,692,0,8388499,0
693,693,0,8388499,0
694,694,0,8388499,0
695,695,0,8388499,0
696,696,0,8388499,0
697,697,0,8388499,0
698,698,0,8388499,0
699,699,0,8388499,0
700,700,0,8388499,0
701,701,0,8388499,0
702,702,0,8388499,0
703,703,0,8388499,0
704,704,0,8388499,0
705,705,0,8388499,0
706,706,0,8388499,0
707,707,0,8388499,0
708,708,0,8388499,0
709,709,0,8388499,0
710,710,0,8388499,0
711,711,0,8388499,0
712,712,0,8388499,0
713,713,0,8388499,0
714,714,0,8388499,0
715,715,0,8388499,0
716,716,0,8388499,0
717,717,0,8388499,0
718,718,0,8388499,0
719,719,0,8388499,0
720,720,0,8388499,0
721,721,0,8388499,0
722,722,0,8388499,0
723,723,0,8388499,0
724,724,0,8388499,0
725,725,0,8388499,0
726,726,0,8388499,0
727,727,0,8388499,0
728,728,0,8388499,0
729,729,0,8388499,0
730,730,0,8388499,0
731,731,0,8388499,0
732,732,0,8388499,0
733,733,0,8388499,0
734,734,0,8388499,0
735,735,0,8388499,0
736,736,0,8388499,0
737,737,0,8388499,0
738,738,0,8388499,0
739,739,0,8388499,0
740,740,0,8388499,0
741,741,0,8388499,0
742,742,0,8388499,0
743,743,0,8388499,0
744,744,0,8388499,0
745,745,0,8388499,0
746,746,0,8388499,0
747,747,0,8388499,0
748,748,0,8388499,0
749,749,0,8388499,0
750,750,0,8388499,0
751,751,0,8388499,0
752,752,0,8388499,0
753,753,0,8388499,0
754,754,0,8388499,0
755,755,0,8388499,0
756,756,0,8388499,0
757,757,0,8388499,0
758,758,0,8388499,0
759,759,0,8388499,0
760,760,0,8388499,0
761,761,0,8388499,0
762,762,0,8388499,0
763,763,0,8388499,0
764,764,0,8388499,0
765,765,0,8388499,0
766,766,0,8388499,0
767,767,0,8388499,0
768,768,0,8388499,0
769,769,0,8388499,0
770,770,0,8388499,0
771,771,0,8388499,0
772,772,0,8388499,0
773,773,0,8388499,0
774,774,0,8388499,0
775,775,0,8388499,0
776,776,0,8388499,0
777,777,0,8388499,0
778,778,0,8388499,0
779,779,0,8388499,0
780,780,0,8388499,0
781,781,0,8388499,0
782,782,0,8388499,0
783,783,0,8388499,0
784,784,0,8388499,0
785,785,0,8388499,0
786,786,0,8388499,0
787,787,0,8388499,0
788,788,0,8388499,0
789,789,0,8388499,0
790,790,0,8388499,0
791,791,0,8388499,0
792,792,0,8388499,0
793,793,0,8388499,0
794,794,0,8388499,0
795,795,0,8388499,0
796,796,0,8388499,0
797,797,0,8388499,0
798,798,0,8388499,0
799,799,0,8388499,0
800,800,0,8388499,0
801,801,0,8388499,0
802,802,0,8388499,0
803,803,0,8388499,0
804,804,0,8388499,0
805,805,0,8388499,0
806,806,0,8388499,0
807,807,0,8388499,0
808,808,0,8388499,0
809,809,0,8388499,0
810,810,0,8388499,0
811,811,0,8388499,0
812,812,0,8388499,0
813,813,0,8388499,0
814,814,0,8388499,0
815,815,0,8388499,0
816,816,0,8388499,0
817,817,0,8388499,0
818,818,0,8388499,0
819,819,0,8388499,0
820,820,0,8388499,0
821,821,0,8388499,0
822,822,0,8388499,0
823,823,0,8388499,0
824,824,0,8388499,0
825,825,0,8388499,0
826,826,0,8388499,0
827,827,0,8388499,0
828,828,0,8388499,0
829,829,0,8388499,0
830,830,0,8388499,0
831,831,0,8388499,0
832,832,0,8388499,0
833,833,0,8388499,0
834,834,0,8388499,0
835,835,0,8388499,0
836,836,0,8388499,0
837,837,0,8388499,0
838,838,0,8388499,0
839,839,0,8388499,0
840,840,0,8388499,0
841,841,0,8388499,0
842,842,0,8388499,0
843,843,0,8388499,0
844,844,0,8388499,0
845,845,0,8388499,0
846,846,0,8388499,0
847,847,0,8388499,0
848,848,0,8388499,0
849,849,0,8388499,0
850,850,0,8388499,0
851,851,0,8388499,0
852,852,0,8388499,0
853,853,0,8388499,0
854,854,0,8388499,0
855,855,0,8388499,0
856,856,0,8388499,0
857,857,0,8388499,0
858,858,0,8388499,0
859,859,0,8388499,0
860,860,0,8388499,0
861,861,0,8388499,0
862,862,0,8388499,0
863,863,0,8388499,0
864,864,0,8388499,0
865,865,0,8388499,0
866,866,0,8388499,0
867,867,0,8388499,0
868,868,0,8388499,0
869,869,0,8388499,0
870,870,0,8388499,0
871,871,0,8388499,0
872,872,0,8388499,0
873,873,0,8388499,0
874,874,0,8388499,0
875,875,0,8388499,0
876,876,0,8388499,0
877,877,0,8388499,0
878,878,0,8388499,0
879,879,0,8388499,0
880,880,0,8388499,0
881,881,0,8388499,0
882,882,0,8388499,0
883,883,0,8388499,0
884,884,0,8388499,0
885,885,0,8388499,0
886,886,0,8388499,0
887,887,0,8388499,0
888,888,0,8388499,0
889,889,0,8388499,0
890,890,0,8388499,0
891,891,0,8388499,0
892,892,0,8388499,0
893,893,0,8388499,0
894,894,0,8388499,0
895,895,0,8388499,0
896,896,0,8388499,0
897,897,0,8388499,0
898,898,0,8388499,0
899,899,0,8388499,0
900,900,0,8388499,0
901,901,0,8388499,0
902,902,0,8388499,0
903,903,0,8388499,0
904,904,0,8388499,0
905,905,0,8388499,0
906,906,0,8388499,0
907,907,0,8388499,0
908,908,0,8388499,0
909,909,0,8388499,0
910,910,0,8388499,0
911,911,0,8388499,0
912,912,0,8388499,0
913,913,0,8388499,0
914,914,0,8388499,0
915,915,0,8388499,0
916,916,0,8388499,0
917,917,0,8388499,0
918,918,0,8388499,0
919,919,0,8388499,0
920,920,0,8388499,0
921,921,0,8388499,0
922,922,0,8388499,0
923,923,0,8388499,0
924,924,0,8388499,0
925,925,0,8388499,0
926,926,0,8388499,0
927,927,0,8388499,0
928,928,0,8388499,0
929,929,0,8388499,0
930,930,0,8388499,0
931,931,0,8388499,0
932,932,0,8388499,0
933,933,0,8388499,0
934,934,0,8388499,0
935,935,0,8388499,0
936,936,0,8388499,0
937,937,0,8388499,0
938,938,0,8388499,0
939,939,0,8388499,0
940,940,0,8388499,0
941,941,0,8388499,0
942,942,0,8388499,0
943,943,0,8388499,0
944,944,0,8388499,0
945,945,0,8388499,0
946,946,0,8388499,0
947,947,0,8388499,0
948,948,0,8388499,0
949,949,0,8388499,0
950,950,0,8388499,0
951,951,0,8388499,0
952,952,0,8388499,0
953,953,0,8388499,0
954,954,0,8388499,0
955,955,0,8388499,0
956,956,0,8388499,0
957,957,0,8388499,0
958,958,0,8388499,0
959,959,0,8388499,0
960,960,0,8388499,0
961,961,0,8388499,0
962,962,0,8388499,0
963,963,0,8388499,0
964,964,0,8388499,0
965,965,0,8388499,0
966,966,0,8388499,0
967,967,0,8388499,0
968,968,0,8388499,0
969,969,0,8388499,0
970,970,0,8388499,0
971,971,0,8388499,0
972,972,0,8388499,0
973,973,0,8388499,0
974,974,0,8388499,0
975,975,0,8388499,0
976,976,0,8388499,0
977,977,0,8388499,0
978,978,0,8388499,0
979,979,0,8388499,0
980,980,0,8388499,0
981,981,0,8388499,0
982,982,0,8388499,0
983,983,0,8388499,0
984,984,0,8388499,0
985,985,0,8388499,0
986,986,0,8388499,0
987,987,0,8388499,0
988,988,0,8388499,0
989,989,0,8388499,0
990,990,0,8388499,0
991,991,0,8388499,0
992,992,0,8388499,0
993,993,0,8388499,0
994,994,0,8388499,0
995,995,0,8388499,0
996,996,0,8388499,0
997,997,0,8388499,0
998,998,0,8388499,0
999,999,0,8388499,0
1000,1000,0,8388499,0
1001,1001,0,8388499,0
1002,1002,0,8388499,0
1003,1003,0,8388499,0
1004,1004,0,8388499,0
1005,1005,0,8388499,0
1006,1006,0,8388499,0
1007,1007,0,8388499,0
1008,1008,0,8388499,0
1009,1009,0,8388499,0
1010,1010,0,8388499,0
1011,1011,0,8388499,0
1012,1012,0,8388499,0
1013,1013,0,8388499,0
1014,1014,0,8388499,0
1015,1015,0,8388499,0
1016,1016,0,8388499,0
1017,1017,0,8388499,0
1018,1018,0,8388499,0
1019,1019,0,8388499,0
1020,1020,0,8388499,0
1021,1021,0,8388499,0
1022,1022,0,8388499,0
1023,1023,0,8388499,0
